nom,tier,nature,type,bloc,fichier,ligne,pou,nb_references,lignes_ecriture,premier_ecrit_true,reference_dans_bandeau,reference_dans_PRG_07,nom_cite_dans_agregation_anyfault,nom_cite_dans_gardes_bandeau,texte_cause_associe,trace_mecanique
Error,T1(brief),BOOL_INTERNE,BOOL,STRUCT,CODE/A_COMMUN/_TYPES/ST_Fault.st,19,,139,CODE/A_COMMUN/FB_FaultCore.st:57 ; CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:575 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:52 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:57 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:128 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:132,,,CODE/M_MAIN/PRG_07_Supervision.st:587 ; CODE/M_MAIN/PRG_07_Supervision.st:589 ; CODE/M_MAIN/PRG_07_Supervision.st:591 ; CODE/M_MAIN/PRG_07_Supervision.st:592,oui,oui,non,ecrit (jamais TRUE litteral) en CODE/A_COMMUN/FB_FaultCore.st:57
ErrorId,T1(brief),BITFIELD_OU_INDEX,WORD,STRUCT,CODE/A_COMMUN/_TYPES/ST_Fault.st,20,,165,CODE/A_COMMUN/FB_FaultCore.st:49 ; CODE/A_COMMUN/FB_FaultCore.st:53 ; CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:576 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:53 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:58 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:81,,CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:766 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:766 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:778 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:778,CODE/M_MAIN/PRG_07_Supervision.st:628 ; CODE/M_MAIN/PRG_07_Supervision.st:628 ; CODE/M_MAIN/PRG_07_Supervision.st:633 ; CODE/M_MAIN/PRG_07_Supervision.st:633,non,oui,non,ecrit (jamais TRUE litteral) en CODE/A_COMMUN/FB_FaultCore.st:49
Latched,T2(elargi),BOOL_INTERNE,BOOL,STRUCT,CODE/A_COMMUN/_TYPES/ST_Fault.st,21,,46,CODE/A_COMMUN/FB_FaultCore.st:80 ; CODE/M_MAIN/PRG_03_Modes_Cycle.st:445 ; CODE/M_MAIN/PRG_03_Modes_Cycle.st:519,,,CODE/M_MAIN/PRG_07_Supervision.st:590 ; CODE/M_MAIN/PRG_07_Supervision.st:659 ; CODE/M_MAIN/PRG_07_Supervision.st:660 ; CODE/M_MAIN/PRG_07_Supervision.st:882,oui,non,non,ecrit (jamais TRUE litteral) en CODE/A_COMMUN/FB_FaultCore.st:80
LatchedId,T2(elargi),BITFIELD_OU_INDEX,WORD,STRUCT,CODE/A_COMMUN/_TYPES/ST_Fault.st,22,,23,CODE/A_COMMUN/FB_FaultCore.st:74 ; CODE/A_COMMUN/FB_FaultCore.st:77 ; CODE/H_TREUILS_BENNE/FB_WinchStateProjection.st:238 ; CODE/H_TREUILS_BENNE/FB_WinchStateProjection.st:266 ; CODE/M_MAIN/PRG_05_Translation.st:741,,CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:568 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:570 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:571 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:573,CODE/M_MAIN/PRG_07_Supervision.st:662 ; CODE/M_MAIN/PRG_07_Supervision.st:883,non,non,non,ecrit (jamais TRUE litteral) en CODE/A_COMMUN/FB_FaultCore.st:74
Error,T1(brief),BOOL_INTERNE,BOOL,STRUCT,CODE/A_COMMUN/_TYPES/ST_Status.st,21,,139,CODE/A_COMMUN/FB_FaultCore.st:57 ; CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:575 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:52 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:57 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:128 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:132,,,CODE/M_MAIN/PRG_07_Supervision.st:587 ; CODE/M_MAIN/PRG_07_Supervision.st:589 ; CODE/M_MAIN/PRG_07_Supervision.st:591 ; CODE/M_MAIN/PRG_07_Supervision.st:592,oui,oui,non,ecrit (jamais TRUE litteral) en CODE/A_COMMUN/FB_FaultCore.st:57
ErrorId,T1(brief),BITFIELD_OU_INDEX,WORD,STRUCT,CODE/A_COMMUN/_TYPES/ST_Status.st,22,,165,CODE/A_COMMUN/FB_FaultCore.st:49 ; CODE/A_COMMUN/FB_FaultCore.st:53 ; CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:576 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:53 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:58 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:81,,CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:766 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:766 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:778 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:778,CODE/M_MAIN/PRG_07_Supervision.st:628 ; CODE/M_MAIN/PRG_07_Supervision.st:628 ; CODE/M_MAIN/PRG_07_Supervision.st:633 ; CODE/M_MAIN/PRG_07_Supervision.st:633,non,oui,non,ecrit (jamais TRUE litteral) en CODE/A_COMMUN/FB_FaultCore.st:49
StateAtError,T1(brief),AUTRE,E_State,STRUCT,CODE/A_COMMUN/_TYPES/ST_Status.st,24,,10,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:88 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:137 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:138 ; CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st:116 ; CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st:117 ; CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st:118,,,,non,non,non,ecrit (jamais TRUE litteral) en CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:88
Warning,T1(brief),BOOL_INTERNE,BOOL,STRUCT,CODE/A_COMMUN/_TYPES/ST_Status.st,26,,1,,,,,non,non,non,seulement lu (CODE/A_COMMUN/_TYPES/ST_Status.st:26)
WarningId,T1(brief),BITFIELD_OU_INDEX,WORD,STRUCT,CODE/A_COMMUN/_TYPES/ST_Status.st,27,,1,,,,,non,non,non,seulement lu (CODE/A_COMMUN/_TYPES/ST_Status.st:27)
WarningIdTxt,T1(brief),TEXTE_LIBELLE,STRING,STRUCT,CODE/A_COMMUN/_TYPES/ST_Status.st,28,,1,,,,,non,non,non,seulement lu (CODE/A_COMMUN/_TYPES/ST_Status.st:28)
ErrorIdTxt,T1(brief),TEXTE_LIBELLE,STRING,STRUCT,CODE/A_COMMUN/_TYPES/ST_Status.st,29,,1,,,,,non,non,non,seulement lu (CODE/A_COMMUN/_TYPES/ST_Status.st:29)
PreflightErrorId,T1(brief),BITFIELD_OU_INDEX,WORD,VAR_OUTPUT,CODE/A_COMMUN/FB_Acquisition_Preflight.st,46,FB_Acquisition_Preflight,38,CODE/A_COMMUN/FB_Acquisition_Preflight.st:63 ; CODE/A_COMMUN/FB_Acquisition_Preflight.st:68 ; CODE/A_COMMUN/FB_Acquisition_Preflight.st:69 ; CODE/A_COMMUN/FB_Acquisition_Preflight.st:70 ; CODE/A_COMMUN/FB_Acquisition_Preflight.st:71 ; CODE/A_COMMUN/FB_Acquisition_Preflight.st:72,,,CODE/M_MAIN/PRG_07_Supervision.st:444 ; CODE/M_MAIN/PRG_07_Supervision.st:444,non,non,non,ecrit (jamais TRUE litteral) en CODE/A_COMMUN/FB_Acquisition_Preflight.st:63
PreflightErrorId,T1(brief),AUTRE,= 0,?,CODE/A_COMMUN/FB_Acquisition_Preflight.st,63,FB_Acquisition_Preflight,38,CODE/A_COMMUN/FB_Acquisition_Preflight.st:63 ; CODE/A_COMMUN/FB_Acquisition_Preflight.st:68 ; CODE/A_COMMUN/FB_Acquisition_Preflight.st:69 ; CODE/A_COMMUN/FB_Acquisition_Preflight.st:70 ; CODE/A_COMMUN/FB_Acquisition_Preflight.st:71 ; CODE/A_COMMUN/FB_Acquisition_Preflight.st:72,,,CODE/M_MAIN/PRG_07_Supervision.st:444 ; CODE/M_MAIN/PRG_07_Supervision.st:444,non,non,non,ecrit (jamais TRUE litteral) en CODE/A_COMMUN/FB_Acquisition_Preflight.st:63
Fault,T1(brief),BRIQUE_ST_FAULT,ST_Fault,VAR_OUTPUT,CODE/A_COMMUN/FB_Brake.st,30,FB_Brake,254,CODE/A_COMMUN/FB_Brake.st:85 ; CODE/A_COMMUN/FB_Brake.st:131 ; CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:502 ; CODE/D_JOYSTICK/FB_Joystick.st:148 ; CODE/E_CODEURS/FB_Encoder.st:110 ; CODE/E_CODEURS/FB_Encoder.st:235,,,CODE/M_MAIN/PRG_07_Supervision.st:583 ; CODE/M_MAIN/PRG_07_Supervision.st:588 ; CODE/M_MAIN/PRG_07_Supervision.st:627 ; CODE/M_MAIN/PRG_07_Supervision.st:628,oui,non,non,"brique ST_Fault : porteuse d'un bitfield, voir lignes de causes"
ContactorIncoherentError,T1(brief),BOOL_INTERNE,BOOL,VAR,CODE/A_COMMUN/FB_Brake.st,48,FB_Brake,3,CODE/A_COMMUN/FB_Brake.st:62 ; CODE/A_COMMUN/FB_Brake.st:119,CODE/A_COMMUN/FB_Brake.st:119,,,non,non,non,ecrit TRUE en CODE/A_COMMUN/FB_Brake.st:119
instFault,T1(brief),AUTRE,FB_FaultCore,VAR,CODE/A_COMMUN/FB_Brake.st,49,FB_Brake,63,,,,,non,non,non,seulement lu (CODE/A_COMMUN/FB_Brake.st:49)
ContactorIncoherentError,T1(brief),AUTRE,= FALSE,?,CODE/A_COMMUN/FB_Brake.st,62,FB_Brake,3,CODE/A_COMMUN/FB_Brake.st:62 ; CODE/A_COMMUN/FB_Brake.st:119,CODE/A_COMMUN/FB_Brake.st:119,,,non,non,non,ecrit TRUE en CODE/A_COMMUN/FB_Brake.st:119
Fault,T1(brief),AUTRE,= instFault.Fault,?,CODE/A_COMMUN/FB_Brake.st,85,FB_Brake,254,CODE/A_COMMUN/FB_Brake.st:85 ; CODE/A_COMMUN/FB_Brake.st:131 ; CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:502 ; CODE/D_JOYSTICK/FB_Joystick.st:148 ; CODE/E_CODEURS/FB_Encoder.st:110 ; CODE/E_CODEURS/FB_Encoder.st:235,,,CODE/M_MAIN/PRG_07_Supervision.st:583 ; CODE/M_MAIN/PRG_07_Supervision.st:588 ; CODE/M_MAIN/PRG_07_Supervision.st:627 ; CODE/M_MAIN/PRG_07_Supervision.st:628,oui,non,non,ecrit (jamais TRUE litteral) en CODE/A_COMMUN/FB_Brake.st:85
ContactorIncoherentError,T1(brief),AUTRE,= TRUE,?,CODE/A_COMMUN/FB_Brake.st,119,FB_Brake,3,CODE/A_COMMUN/FB_Brake.st:62 ; CODE/A_COMMUN/FB_Brake.st:119,CODE/A_COMMUN/FB_Brake.st:119,,,non,non,non,ecrit TRUE en CODE/A_COMMUN/FB_Brake.st:119
Fault,T1(brief),AUTRE,= instFault.Fault,?,CODE/A_COMMUN/FB_Brake.st,131,FB_Brake,254,CODE/A_COMMUN/FB_Brake.st:85 ; CODE/A_COMMUN/FB_Brake.st:131 ; CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:502 ; CODE/D_JOYSTICK/FB_Joystick.st:148 ; CODE/E_CODEURS/FB_Encoder.st:110 ; CODE/E_CODEURS/FB_Encoder.st:235,,,CODE/M_MAIN/PRG_07_Supervision.st:583 ; CODE/M_MAIN/PRG_07_Supervision.st:588 ; CODE/M_MAIN/PRG_07_Supervision.st:627 ; CODE/M_MAIN/PRG_07_Supervision.st:628,oui,non,non,ecrit (jamais TRUE litteral) en CODE/A_COMMUN/FB_Brake.st:85
ActivationLatched,T2(elargi),BOOL_INTERNE,BOOL,VAR,CODE/A_COMMUN/FB_ContactorProtector.st,26,FB_ContactorProtector,5,CODE/A_COMMUN/FB_ContactorProtector.st:34 ; CODE/A_COMMUN/FB_ContactorProtector.st:53 ; CODE/A_COMMUN/FB_ContactorProtector.st:56,CODE/A_COMMUN/FB_ContactorProtector.st:53,,,non,non,non,ecrit TRUE en CODE/A_COMMUN/FB_ContactorProtector.st:53
ActivationLatched,T2(elargi),AUTRE,= FALSE,?,CODE/A_COMMUN/FB_ContactorProtector.st,34,FB_ContactorProtector,5,CODE/A_COMMUN/FB_ContactorProtector.st:34 ; CODE/A_COMMUN/FB_ContactorProtector.st:53 ; CODE/A_COMMUN/FB_ContactorProtector.st:56,CODE/A_COMMUN/FB_ContactorProtector.st:53,,,non,non,non,ecrit TRUE en CODE/A_COMMUN/FB_ContactorProtector.st:53
ActivationLatched,T2(elargi),AUTRE,= TRUE,?,CODE/A_COMMUN/FB_ContactorProtector.st,53,FB_ContactorProtector,5,CODE/A_COMMUN/FB_ContactorProtector.st:34 ; CODE/A_COMMUN/FB_ContactorProtector.st:53 ; CODE/A_COMMUN/FB_ContactorProtector.st:56,CODE/A_COMMUN/FB_ContactorProtector.st:53,,,non,non,non,ecrit TRUE en CODE/A_COMMUN/FB_ContactorProtector.st:53
ActivationLatched,T2(elargi),AUTRE,= FALSE,?,CODE/A_COMMUN/FB_ContactorProtector.st,56,FB_ContactorProtector,5,CODE/A_COMMUN/FB_ContactorProtector.st:34 ; CODE/A_COMMUN/FB_ContactorProtector.st:53 ; CODE/A_COMMUN/FB_ContactorProtector.st:56,CODE/A_COMMUN/FB_ContactorProtector.st:53,,,non,non,non,ecrit TRUE en CODE/A_COMMUN/FB_ContactorProtector.st:53
DefaultValueS,T1(brief),AUTRE,REAL := 0.004,VAR_INPUT,CODE/A_COMMUN/FB_CycleTime.st,13,FB_CycleTime,6,CODE/H_TREUILS_BENNE/FB_Winch_Symmetry.st:75 ; CODE/I_TRANSLATION/FB_Translation_PositionEstimator.st:84 ; CODE/L_SIMULATION/FB_Sim_Translation.st:132,,,,non,non,non,ecrit (jamais TRUE litteral) en CODE/H_TREUILS_BENNE/FB_Winch_Symmetry.st:75
Fault,T1(brief),BRIQUE_ST_FAULT,ST_Fault,VAR_OUTPUT,CODE/A_COMMUN/FB_FaultCore.st,29,FB_FaultCore,254,CODE/A_COMMUN/FB_Brake.st:85 ; CODE/A_COMMUN/FB_Brake.st:131 ; CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:502 ; CODE/D_JOYSTICK/FB_Joystick.st:148 ; CODE/E_CODEURS/FB_Encoder.st:110 ; CODE/E_CODEURS/FB_Encoder.st:235,,,CODE/M_MAIN/PRG_07_Supervision.st:583 ; CODE/M_MAIN/PRG_07_Supervision.st:588 ; CODE/M_MAIN/PRG_07_Supervision.st:627 ; CODE/M_MAIN/PRG_07_Supervision.st:628,oui,non,non,"brique ST_Fault : porteuse d'un bitfield, voir lignes de causes"
Error,T1(brief),BOOL_INTERNE,BOOL,STRUCT,CODE/B_AU_SECURITE/_TYPES/ST_Safety_Emergency_Diag.st,11,,139,CODE/A_COMMUN/FB_FaultCore.st:57 ; CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:575 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:52 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:57 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:128 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:132,,,CODE/M_MAIN/PRG_07_Supervision.st:587 ; CODE/M_MAIN/PRG_07_Supervision.st:589 ; CODE/M_MAIN/PRG_07_Supervision.st:591 ; CODE/M_MAIN/PRG_07_Supervision.st:592,oui,oui,non,ecrit (jamais TRUE litteral) en CODE/A_COMMUN/FB_FaultCore.st:57
ErrorId,T1(brief),BITFIELD_OU_INDEX,WORD,STRUCT,CODE/B_AU_SECURITE/_TYPES/ST_Safety_Emergency_Diag.st,12,,165,CODE/A_COMMUN/FB_FaultCore.st:49 ; CODE/A_COMMUN/FB_FaultCore.st:53 ; CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:576 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:53 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:58 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:81,,CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:766 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:766 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:778 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:778,CODE/M_MAIN/PRG_07_Supervision.st:628 ; CODE/M_MAIN/PRG_07_Supervision.st:628 ; CODE/M_MAIN/PRG_07_Supervision.st:633 ; CODE/M_MAIN/PRG_07_Supervision.st:633,non,oui,non,ecrit (jamais TRUE litteral) en CODE/A_COMMUN/FB_FaultCore.st:49
Diag,T1(brief),BRIQUE_ST_FAULT,ST_Safety_Emergency_Diag,STRUCT,CODE/B_AU_SECURITE/_TYPES/ST_Safety_Emergency_Status.st,23,,40,CODE/M_MAIN/PRG_07_Supervision.st:578,,,CODE/M_MAIN/PRG_07_Supervision.st:578,oui,oui,non,"brique ST_Fault : porteuse d'un bitfield, voir lignes de causes"
Fault,T1(brief),BRIQUE_ST_FAULT,ST_Fault,STRUCT,CODE/B_AU_SECURITE/_TYPES/ST_Safety_Emergency_Status.st,26,,254,CODE/A_COMMUN/FB_Brake.st:85 ; CODE/A_COMMUN/FB_Brake.st:131 ; CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:502 ; CODE/D_JOYSTICK/FB_Joystick.st:148 ; CODE/E_CODEURS/FB_Encoder.st:110 ; CODE/E_CODEURS/FB_Encoder.st:235,,,CODE/M_MAIN/PRG_07_Supervision.st:583 ; CODE/M_MAIN/PRG_07_Supervision.st:588 ; CODE/M_MAIN/PRG_07_Supervision.st:627 ; CODE/M_MAIN/PRG_07_Supervision.st:628,oui,non,non,"brique ST_Fault : porteuse d'un bitfield, voir lignes de causes"
MaintainA_NoFault,T1(brief),BOOL_INTERNE,BOOL,VAR,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,82,FB_Safety_EmergencyManagement,3,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:532,,,,non,non,non,ecrit (jamais TRUE litteral) en CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:532
MaintainB_NoFault,T1(brief),BOOL_INTERNE,BOOL,VAR,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,83,FB_Safety_EmergencyManagement,3,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:533,,,,non,non,non,ecrit (jamais TRUE litteral) en CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:533
instFault,T1(brief),AUTRE,FB_FaultCore,VAR,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,105,FB_Safety_EmergencyManagement,63,,,,,non,non,non,seulement lu (CODE/A_COMMUN/FB_Brake.st:49)
CST_FaultDisplayDebounce,T1(brief),AUTRE,TIME := T#200ms,VAR CONSTANT,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,117,FB_Safety_EmergencyManagement,3,,,,,non,non,non,seulement lu (CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:117)
MaintainA_NoFault,T1(brief),AUTRE,= NOT ForceTestA AND NOT RedundancyTestFailedCause,?,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,532,FB_Safety_EmergencyManagement,3,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:532,,,,non,non,non,ecrit (jamais TRUE litteral) en CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:532
MaintainB_NoFault,T1(brief),AUTRE,= NOT ForceTestB AND NOT RedundancyTestFailedCause,?,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st,533,FB_Safety_EmergencyManagement,3,CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:533,,,,non,non,non,ecrit (jamais TRUE litteral) en CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:533
CST_ABORT_INVALID_STEP,T2(elargi),AUTRE,INT := 256,VAR_GLOBAL,CODE/B_AU_SECURITE/GVL_Safety_Emergency.st,38,,3,,,,,non,non,non,seulement lu (CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:435)
DiagnosticsStable,T1(brief),ENTREE_BOOL_CONSOMMATEUR,BOOL,VAR_INPUT,CODE/C_DIAG_RESEAUX/FB_AutoResetTransientDiag.st,20,FB_AutoResetTransientDiag,3,CODE/M_MAIN/PRG_02_Acquisition.st:239,,,,non,non,non,ecrit (jamais TRUE litteral) en CODE/M_MAIN/PRG_02_Acquisition.st:239
Error,T1(brief),BOOL_INTERNE,BOOL,STRUCT,CODE/C_DIAG_RESEAUX/ST_Diag_Device.st,11,,139,CODE/A_COMMUN/FB_FaultCore.st:57 ; CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:575 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:52 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:57 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:128 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:132,,,CODE/M_MAIN/PRG_07_Supervision.st:587 ; CODE/M_MAIN/PRG_07_Supervision.st:589 ; CODE/M_MAIN/PRG_07_Supervision.st:591 ; CODE/M_MAIN/PRG_07_Supervision.st:592,oui,oui,non,ecrit (jamais TRUE litteral) en CODE/A_COMMUN/FB_FaultCore.st:57
ErrorId,T1(brief),BITFIELD_OU_INDEX,WORD,STRUCT,CODE/C_DIAG_RESEAUX/ST_Diag_Device.st,12,,165,CODE/A_COMMUN/FB_FaultCore.st:49 ; CODE/A_COMMUN/FB_FaultCore.st:53 ; CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:576 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:53 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:58 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:81,,CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:766 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:766 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:778 ; CODE/J_SUPERVISION/FB_Hmi_BannerFormatter.st:778,CODE/M_MAIN/PRG_07_Supervision.st:628 ; CODE/M_MAIN/PRG_07_Supervision.st:628 ; CODE/M_MAIN/PRG_07_Supervision.st:633 ; CODE/M_MAIN/PRG_07_Supervision.st:633,non,oui,non,ecrit (jamais TRUE litteral) en CODE/A_COMMUN/FB_FaultCore.st:49
StateAtError,T1(brief),AUTRE,E_Diag_State,STRUCT,CODE/C_DIAG_RESEAUX/ST_Diag_Device.st,14,,10,CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:88 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:137 ; CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:138 ; CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st:116 ; CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st:117 ; CODE/C_DIAG_RESEAUX/FB_Diag_Ethercat.st:118,,,,non,non,non,ecrit (jamais TRUE litteral) en CODE/C_DIAG_RESEAUX/FB_Diag_CanOpen.st:88
Fault,T1(brief),BRIQUE_ST_FAULT,ST_Fault,VAR_OUTPUT,CODE/D_JOYSTICK/FB_Joystick.st,46,FB_Joystick,254,CODE/A_COMMUN/FB_Brake.st:85 ; CODE/A_COMMUN/FB_Brake.st:131 ; CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:502 ; CODE/D_JOYSTICK/FB_Joystick.st:148 ; CODE/E_CODEURS/FB_Encoder.st:110 ; CODE/E_CODEURS/FB_Encoder.st:235,,,CODE/M_MAIN/PRG_07_Supervision.st:583 ; CODE/M_MAIN/PRG_07_Supervision.st:588 ; CODE/M_MAIN/PRG_07_Supervision.st:627 ; CODE/M_MAIN/PRG_07_Supervision.st:628,oui,non,non,"brique ST_Fault : porteuse d'un bitfield, voir lignes de causes"
instFault,T1(brief),AUTRE,FB_FaultCore,VAR,CODE/D_JOYSTICK/FB_Joystick.st,83,FB_Joystick,63,,,,,non,non,non,seulement lu (CODE/A_COMMUN/FB_Brake.st:49)
RawOutOfRange,T2(elargi),BOOL_INTERNE,BOOL,VAR,CODE/D_JOYSTICK/FB_Joystick.st,101,FB_Joystick,8,CODE/D_JOYSTICK/FB_Joystick.st:112,,,,non,non,non,ecrit (jamais TRUE litteral) en CODE/D_JOYSTICK/FB_Joystick.st:112
Fault,T1(brief),AUTRE,= instFault.Fault,?,CODE/D_JOYSTICK/FB_Joystick.st,148,FB_Joystick,254,CODE/A_COMMUN/FB_Brake.st:85 ; CODE/A_COMMUN/FB_Brake.st:131 ; CODE/B_AU_SECURITE/FB_Safety_EmergencyManagement.st:502 ; CODE/D_JOYSTICK/FB_Joystick.st:148 ; CODE/E_CODEURS/FB_Encoder.st:110 ; CODE/E_CODEURS/FB_Encoder.st:235,,,CODE/M_MAIN/PRG_07_Supervision.st:583 ; CODE/M_MAIN/PRG_07_Supervision.st:588 ; CODE/M_MAIN/PRG_07_Supervision.st:627 ; CODE/M_MAIN/PRG_07_Supervision.st:628,oui,non,non,ecrit (jamais TRUE litteral) en CODE/A_COMMUN/FB_Brake.st:85
RawOutOfRangeMargin,T2(elargi),AUTRE,INT  := 500,STRUCT,CODE/D_JOYSTICK/ST_fbJoystick_Cfg.st,18,,5,,,,,non,non,non,seulement lu (CODE/D_JOYSTICK/FB_Joystick.st:112)
AlarmsIn,T1(brief),AUTRE,UINT,STRUCT,CODE/E_CODEURS/_TYPES/ST_EncoderHw.st,13,,8,CODE/E_CODEURS/FB_Encoder.st:121 ; CODE/M_MAIN/PRG_02_Acquisition.st:598 ; CODE/M_MAIN/PRG_02_Acquisition.st:653,,,,non,non,non,ecrit (jamais TRUE litteral) en CODE/E_CODEURS/FB_Encoder.st:121
WarningsIn,T1(brief),AUTRE,UINT,STRUCT,CODE/E_CODEURS/_TYPES/ST_EncoderHw.st,14,,7,CODE/E_CODEURS/FB_Encoder.st:122 ; CODE/M_MAIN/PRG_02_Acquisition.st:599 ; CODE/M_MAIN/PRG_02_Acquisition.st:654,,,,non,non,non,ecrit (jamais TRUE litteral) en CODE/E_CODEURS/FB_Encoder.st:122
AlarmsIn,T1(brief),AUTRE,UINT,STRUCT,CODE/E_CODEURS/_TYPES/ST_fbEncoder_HwIn.st,18,,8,CODE/E_CODEURS/FB_Encoder.st:121 ; CODE/M_MAIN/PRG_02_Acquisition.st:598 ; CODE/M_MAIN/PRG_02_Acquisition.st:653,,,,non,non,non,ecrit (jamais TRUE litteral) en CODE/E_CODEURS/FB_Encoder.st:121
