Variable;Valeur
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx101_ModeActive;E_Mode.SEMI_AUTO
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx102_SimulationEnabled;FALSE
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx103_JoystickCommOk;TRUE
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx201_JoystickSelected;TRUE
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx202_BypassNetworkGlobal;FALSE
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx203_BypassSensorsGlobal;FALSE
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx301_EmergencyChainClosed;TRUE
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx302_PowerContactorEngaged;TRUE
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx303_SafeStopActiveAny;FALSE
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx304_PowerCutOffActiveAny;FALSE
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx401_HmiHeartbeatOk;TRUE
GVL_Troubleshooting.A_ContexteMachineGlobal.Idx402_CycleAutoBusy;TRUE
GVL_Troubleshooting.B_Inputs.Winch.M1_ContactorsReleased_DI;TRUE
GVL_Troubleshooting.B_Inputs.Winch.M1_ThermalOk_DI;TRUE
GVL_Troubleshooting.B_Inputs.Winch.M1_BrakeIsOpen_DI;FALSE
GVL_Troubleshooting.B_Inputs.Winch.M2_ContactorsReleased_DI;TRUE
GVL_Troubleshooting.B_Inputs.Winch.M2_ThermalOk_DI;TRUE
GVL_Troubleshooting.B_Inputs.Winch.M2_BrakeIsOpen_DI;FALSE
GVL_Troubleshooting.B_Inputs.Winch.M1M2_TopPositionFree_DI;TRUE
GVL_Troubleshooting.B_Inputs.Winch.M2_TensionedCable_DI;TRUE
GVL_Troubleshooting.B_Inputs.Winch.COD1_PosValue;UDINT#16784152
GVL_Troubleshooting.B_Inputs.Winch.COD1_SpdValue;DINT#0
GVL_Troubleshooting.B_Inputs.Winch.COD1_Alarms;UINT#0
GVL_Troubleshooting.B_Inputs.Winch.COD1_Warnings;UINT#0
GVL_Troubleshooting.B_Inputs.Winch.COD1_DeviceState;DEVICE_STATE.RUNNING
GVL_Troubleshooting.B_Inputs.Winch.COD2_PosValue;UDINT#16838071
GVL_Troubleshooting.B_Inputs.Winch.COD2_SpdValue;DINT#0
GVL_Troubleshooting.B_Inputs.Winch.COD2_Alarms;UINT#0
GVL_Troubleshooting.B_Inputs.Winch.COD2_Warnings;UINT#0
GVL_Troubleshooting.B_Inputs.Winch.COD2_DeviceState;DEVICE_STATE.RUNNING
GVL_Troubleshooting.B_Inputs.Translation.M3_PosTremie_DI;FALSE
GVL_Troubleshooting.B_Inputs.Translation.M3_PosPV_DI;FALSE
GVL_Troubleshooting.B_Inputs.Translation.M3_PosPVP2_DI;FALSE
GVL_Troubleshooting.B_Inputs.Translation.M3_PosP1_DI;TRUE
GVL_Troubleshooting.B_Inputs.Translation.M3_PosMaintenance_DI;TRUE
GVL_Troubleshooting.B_Inputs.Translation.M3_BrakeIsOpen_DI;FALSE
GVL_Troubleshooting.B_Inputs.Translation.M3_ThermalOK_DI;TRUE
GVL_Troubleshooting.B_Inputs.Translation.M3_StatusWord;WORD#128
GVL_Troubleshooting.B_Inputs.Translation.M3_ActualFrequencyHz;UINT#0
GVL_Troubleshooting.B_Inputs.Translation.AC600_DeviceState;DEVICE_STATE.RUNNING
GVL_Troubleshooting.B_Inputs.Operator.JoyXRaw_ANA1;INT#4993
GVL_Troubleshooting.B_Inputs.Operator.JoyYRaw_ANA2;INT#0
GVL_Troubleshooting.B_Inputs.Operator.JoyBtnRaw;TRUE
GVL_Troubleshooting.B_Inputs.Operator.CanBusState;INT#2
GVL_Troubleshooting.B_Inputs.Operator.JOY1_DeviceState;DEVICE_STATE.RUNNING
GVL_Troubleshooting.B_Inputs.Machine.PowerContactorEngaged_DI;TRUE
GVL_Troubleshooting.B_Inputs.Machine.EmergencyChainClosed_DI;TRUE
GVL_Troubleshooting.B_Inputs.Machine.PhaseRotationOk_DI;TRUE
GVL_Troubleshooting.B_Inputs.Machine.M1_M2_M3_BrakeThermalOk_DI;TRUE
GVL_Troubleshooting.B_Inputs.Machine.M1_M2_KoboldBottomTouch_DI;FALSE
GVL_Troubleshooting.B_Inputs.Machine.HydraulicThermalOk_DI;FALSE
GVL_Troubleshooting.B_Inputs.Machine.ConveyorInfeedReady_DI;FALSE
GVL_Troubleshooting.B_Inputs.Machine.TremieFull_OR_GateRaised_DI;FALSE
