Variable;Valeur
GVL_Troubleshooting.ContexteMachineGlobal.Idx101_ModeActive;E_Mode.MAINT_N1
GVL_Troubleshooting.ContexteMachineGlobal.Idx102_SimulationEnabled;TRUE
GVL_Troubleshooting.ContexteMachineGlobal.Idx103_JoystickCommOk;TRUE
GVL_Troubleshooting.ContexteMachineGlobal.Idx201_JoystickSelected;TRUE
GVL_Troubleshooting.ContexteMachineGlobal.Idx202_BypassNetworkGlobal;FALSE
GVL_Troubleshooting.ContexteMachineGlobal.Idx203_BypassSensorsGlobal;FALSE
GVL_Troubleshooting.ContexteMachineGlobal.Idx301_EmergencyChainClosed;TRUE
GVL_Troubleshooting.ContexteMachineGlobal.Idx302_PowerContactorEngaged;FALSE
GVL_Troubleshooting.ContexteMachineGlobal.Idx303_SafeStopActiveAny;TRUE
GVL_Troubleshooting.ContexteMachineGlobal.Idx304_PowerCutOffActiveAny;FALSE
GVL_Troubleshooting.ContexteMachineGlobal.Idx401_HmiHeartbeatOk;TRUE
GVL_Troubleshooting.ContexteMachineGlobal.Idx402_CycleAutoBusy;FALSE
GVL_Troubleshooting.Inputs.Winch.M1_ContactorsReleased_DI;TRUE
GVL_Troubleshooting.Inputs.Winch.M1_ThermalOk_DI;TRUE
GVL_Troubleshooting.Inputs.Winch.M1_BrakeIsOpen_DI;FALSE
GVL_Troubleshooting.Inputs.Winch.M2_ContactorsReleased_DI;TRUE
GVL_Troubleshooting.Inputs.Winch.M2_ThermalOk_DI;TRUE
GVL_Troubleshooting.Inputs.Winch.M2_BrakeIsOpen_DI;FALSE
GVL_Troubleshooting.Inputs.Winch.M1M2_TopPositionFree_DI;FALSE
GVL_Troubleshooting.Inputs.Winch.M2_TensionedCable_DI;TRUE
GVL_Troubleshooting.Inputs.Winch.COD1_PosValue;UDINT#1000000
GVL_Troubleshooting.Inputs.Winch.COD1_Alarms;UINT#0
GVL_Troubleshooting.Inputs.Winch.COD1_Warnings;UINT#0
GVL_Troubleshooting.Inputs.Winch.COD1_DeviceState;DEVICE_STATE.RUNNING
GVL_Troubleshooting.Inputs.Winch.COD2_PosValue;UDINT#1000000
GVL_Troubleshooting.Inputs.Winch.COD2_Alarms;UINT#0
GVL_Troubleshooting.Inputs.Winch.COD2_Warnings;UINT#0
GVL_Troubleshooting.Inputs.Winch.COD2_DeviceState;DEVICE_STATE.RUNNING
GVL_Troubleshooting.Inputs.Translation.M3_PosTremie_DI;TRUE
GVL_Troubleshooting.Inputs.Translation.M3_PosPV_DI;TRUE
GVL_Troubleshooting.Inputs.Translation.M3_PosPVP2_DI;TRUE
GVL_Troubleshooting.Inputs.Translation.M3_PosP1_DI;TRUE
GVL_Troubleshooting.Inputs.Translation.M3_PosMaintenance_DI;TRUE
GVL_Troubleshooting.Inputs.Translation.M3_BrakeIsOpen_DI;FALSE
GVL_Troubleshooting.Inputs.Translation.M3_ThermalOK_DI;TRUE
GVL_Troubleshooting.Inputs.Translation.M3_StatusWord;WORD#128
GVL_Troubleshooting.Inputs.Translation.M3_ActualFrequencyHz;UINT#0
GVL_Troubleshooting.Inputs.Translation.AC600_DeviceState;DEVICE_STATE.RUNNING
