Variable;Valeur
GVL_IHM.DredgingAssist.State.DiveState;E_DiveSearchState.WAIT_PRECONDITIONS
GVL_IHM.DredgingAssist.State.BottomTouchConfirmed;FALSE
GVL_IHM.DredgingAssist.State.ExtractionReady;FALSE
GVL_IHM.DredgingAssist.State.ExtractionBusy;FALSE
GVL_IHM.DredgingAssist.State.ExtractionDone;FALSE
GVL_IHM.DredgingAssist.State.ExtractionError;FALSE
GVL_IHM.DredgingAssist.State.ExtractionErrorId;WORD#0
GVL_IHM.DredgingAssist.State.ExtractionState;E_ExtractionSequenceState.WAIT_BOTTOM_CONFIRMATION
GVL_IHM.DredgingAssist.State.OperatorActionId;WORD#0
GVL_IHM.DredgingAssist.State.OperatorAction;''
GVL_IHM.DredgingAssist.State.DumpAtTremieArmed;TRUE
GVL_IHM.DredgingAssist.State.DumpAtTremieAssistActive;FALSE
GVL_IHM.DredgingAssist.State.DumpAtTremieAtTremie;FALSE
GVL_IHM.DredgingAssist.State.DumpAtTremieBucketOpenArmed;FALSE
GVL_IHM.DredgingAssist.State.DumpAtTremieDescentLocked;FALSE
GVL_IHM.DredgingAssist.State.BypassDiveActive;FALSE
GVL_IHM.DredgingAssist.State.BypassKoboldBottomTouched;FALSE
GVL_IHM.HmiInitDone;TRUE
GVL_IHM.JOY1Joystick.Cmd.BtnCalibrate;FALSE
GVL_IHM.JOY1Joystick.State.RawX;INT#0
GVL_IHM.JOY1Joystick.State.RawY;INT#0
GVL_IHM.JOY1Joystick.State.RawButton;FALSE
GVL_IHM.JOY1Joystick.State.AxisCmdX.Enable;FALSE
GVL_IHM.JOY1Joystick.State.AxisCmdX.StartStop;FALSE
GVL_IHM.JOY1Joystick.State.AxisCmdX.SpeedRef;REAL#0
GVL_IHM.JOY1Joystick.State.AxisCmdX.Direction;INT#0
GVL_IHM.JOY1Joystick.State.AxisCmdY.Enable;FALSE
GVL_IHM.JOY1Joystick.State.AxisCmdY.StartStop;FALSE
GVL_IHM.JOY1Joystick.State.AxisCmdY.SpeedRef;REAL#0
GVL_IHM.JOY1Joystick.State.AxisCmdY.Direction;INT#0
GVL_IHM.JOY1Joystick.State.NeutralXAct;INT#5000
GVL_IHM.JOY1Joystick.State.NeutralYAct;INT#5000
GVL_IHM.JOY1Joystick.State.DeadmanArmed;FALSE
GVL_IHM.JOY1Joystick.State.AtNeutral;TRUE
GVL_IHM.JOY1Joystick.State.Online;FALSE
GVL_IHM.JOY1Joystick.State.Operational;FALSE
GVL_IHM.JOY1Joystick.State.Error;TRUE
GVL_IHM.JOY1Joystick.State.ErrorId;WORD#3
GVL_IHM.M1M2Sync.Cmd.SelSyncEnable;TRUE
GVL_IHM.M1M2Sync.State.DeltaPos_M;REAL#0
GVL_IHM.M1M2Sync.State.SyncActive;FALSE
GVL_IHM.M1M2Sync.State.SyncWarn;FALSE
GVL_IHM.M1M2Sync.State.SyncDegradedStep1;FALSE
GVL_IHM.M1M2Sync.State.Ready;FALSE
GVL_IHM.M1M2Sync.State.Error;FALSE
GVL_IHM.M1M2Sync.State.ErrorId;WORD#0
GVL_IHM.M1M2Sync.State.FBState;E_State.DISABLED
GVL_IHM.M1M2Sync.Cfg.CfgSyncTolerance_M;REAL#0.8
GVL_IHM.M1M2Sync.Cfg.Initialized;TRUE
GVL_IHM.M1M2Sync.Bypass.Global;FALSE
GVL_IHM.M1M2Sync.Bypass.Initialized;TRUE
GVL_IHM.M1TreuilRetenue.Cmd.BtnUp;FALSE
GVL_IHM.M1TreuilRetenue.Cmd.BtnDown;FALSE
GVL_IHM.M1TreuilRetenue.Cmd.BtnReset;FALSE
GVL_IHM.M1TreuilRetenue.Cmd.BtnHome;FALSE
GVL_IHM.M1TreuilRetenue.Cmd.BtnConfirmCoherence;FALSE
GVL_IHM.M1TreuilRetenue.Cmd.BtnInhibit;FALSE
GVL_IHM.M1TreuilRetenue.Cmd.BtnHomingAtZero;FALSE
GVL_IHM.M1TreuilRetenue.State.Position_M;REAL#0
GVL_IHM.M1TreuilRetenue.State.MeasuredSpeed_Mps;REAL#0
GVL_IHM.M1TreuilRetenue.State.SpeedDelta_Mps;REAL#0
GVL_IHM.M1TreuilRetenue.State.SpeedVariationDetected;FALSE
GVL_IHM.M1TreuilRetenue.State.SpeedVariationConfirmed;FALSE
GVL_IHM.M1TreuilRetenue.State.SpeedStable;FALSE
GVL_IHM.M1TreuilRetenue.State.SpeedMonitorError;FALSE
GVL_IHM.M1TreuilRetenue.State.SpeedMonitorErrorId;WORD#0
GVL_IHM.M1TreuilRetenue.State.EstimatedLoadPct;REAL#0
GVL_IHM.M1TreuilRetenue.State.LoadEstimateConfigured;FALSE
GVL_IHM.M1TreuilRetenue.State.SpeedGuardLimited;FALSE
GVL_IHM.M1TreuilRetenue.State.SpeedRef_Pct;REAL#0
GVL_IHM.M1TreuilRetenue.State.StepNumber;INT#0
GVL_IHM.M1TreuilRetenue.State.FBState;E_State.DISABLED
GVL_IHM.M1TreuilRetenue.State.Ready;FALSE
GVL_IHM.M1TreuilRetenue.State.Busy;FALSE
GVL_IHM.M1TreuilRetenue.State.Done;FALSE
GVL_IHM.M1TreuilRetenue.State.Error;FALSE
GVL_IHM.M1TreuilRetenue.State.ErrorId;WORD#0
GVL_IHM.M1TreuilRetenue.State.RelayFwd;FALSE
GVL_IHM.M1TreuilRetenue.State.RelayRev;FALSE
GVL_IHM.M1TreuilRetenue.State.Contactor1;FALSE
GVL_IHM.M1TreuilRetenue.State.Contactor2;FALSE
GVL_IHM.M1TreuilRetenue.State.Contactor3;FALSE
GVL_IHM.M1TreuilRetenue.State.Contactor4;FALSE
GVL_IHM.M1TreuilRetenue.State.BrakeCmd;FALSE
GVL_IHM.M1TreuilRetenue.State.FinalInterlockState;E_WinchFinalInterlockState.DISABLED
GVL_IHM.M1TreuilRetenue.State.FinalInterlockReason;E_WinchFinalInterlockReason.NONE
GVL_IHM.M1TreuilRetenue.State.FinalInterlockError;FALSE
GVL_IHM.M1TreuilRetenue.State.FinalInterlockErrorId;WORD#0
GVL_IHM.M1TreuilRetenue.State.FinalRestartInhibit;FALSE
GVL_IHM.M1TreuilRetenue.State.BrakeCommandOpenConfirmed;FALSE
GVL_IHM.M1TreuilRetenue.State.FinalAuthorizedStep;INT#0
GVL_IHM.M1TreuilRetenue.State.FinalBrakeTimeoutElapsed;TIME#0ms
GVL_IHM.M1TreuilRetenue.State.FinalRestartDelayElapsed;TIME#0ms
GVL_IHM.M1TreuilRetenue.State.FinalStepDelayElapsed;TIME#0ms
GVL_IHM.M1TreuilRetenue.State.Encoder.RawPos;UDINT#0
GVL_IHM.M1TreuilRetenue.State.Encoder.Alarms;UINT#0
GVL_IHM.M1TreuilRetenue.State.Encoder.Warnings;UINT#0
GVL_IHM.M1TreuilRetenue.State.Encoder.SlaveOperational;FALSE
GVL_IHM.M1TreuilRetenue.State.Encoder.PresetTriggerCmd;WORD#0
GVL_IHM.M1TreuilRetenue.State.Encoder.PresetValueOut;UDINT#0
GVL_IHM.M1TreuilRetenue.State.Encoder.Error;TRUE
GVL_IHM.M1TreuilRetenue.State.Encoder.ErrorId;WORD#1
GVL_IHM.M1TreuilRetenue.State.Encoder.Homed;FALSE
GVL_IHM.M1TreuilRetenue.State.Encoder.HomingBusy;FALSE
GVL_IHM.M1TreuilRetenue.State.Encoder.HomingDone;FALSE
GVL_IHM.M1TreuilRetenue.State.Encoder.HomingError;FALSE
GVL_IHM.M1TreuilRetenue.State.Encoder.HomingErrorId;WORD#0
GVL_IHM.M1TreuilRetenue.State.Encoder.HomingState;E_State.INIT
GVL_IHM.M1TreuilRetenue.State.Encoder.HomingStateAtError;E_State.DISABLED
GVL_IHM.M1TreuilRetenue.State.Encoder.HomingSuspect;FALSE
GVL_IHM.M1TreuilRetenue.State.Encoder.HomingRefRaw;UDINT#0
GVL_IHM.M1TreuilRetenue.State.ContactorsCheck.Command;FALSE
GVL_IHM.M1TreuilRetenue.State.ContactorsCheck.Feedback;FALSE
