//CoDeSys Mapping Export V1.2
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name
//Important: change only first, third or fourth column in Excel or add variable name before first
;Input;;Universal digital input;%IB0;Local_Digital_IO
;Bit28;;Preset Value;%QX11.4;COD1_CODEUR
;Bit29;;Preset Value;%QX11.5;COD1_CODEUR
;Bit30;;Preset Value;%QX11.6;COD1_CODEUR
;Bit31;;Preset Value;%QX11.7;COD1_CODEUR
COD1_Alarms;Alarms;;Alarms;%IW2;COD1_CODEUR
;Bit0@3;;Alarms;%IX4.0;COD1_CODEUR
;Bit1@3;;Alarms;%IX4.1;COD1_CODEUR
;Bit2@3;;Alarms;%IX4.2;COD1_CODEUR
;Bit3@3;;Alarms;%IX4.3;COD1_CODEUR
;Bit4@3;;Alarms;%IX4.4;COD1_CODEUR
;Bit5@3;;Alarms;%IX4.5;COD1_CODEUR
;Bit6@3;;Alarms;%IX4.6;COD1_CODEUR
;Bit7@3;;Alarms;%IX4.7;COD1_CODEUR
;Bit8@3;;Alarms;%IX5.0;COD1_CODEUR
;Bit9@3;;Alarms;%IX5.1;COD1_CODEUR
;Bit10@3;;Alarms;%IX5.2;COD1_CODEUR
;Bit11@3;;Alarms;%IX5.3;COD1_CODEUR
;Bit12@3;;Alarms;%IX5.4;COD1_CODEUR
;Bit13@3;;Alarms;%IX5.5;COD1_CODEUR
;Bit14@3;;Alarms;%IX5.6;COD1_CODEUR
;Bit15@3;;Alarms;%IX5.7;COD1_CODEUR
COD1_Warnings;Warnings;;Warnings;%IW3;COD1_CODEUR
;Bit0@4;;Warnings;%IX6.0;COD1_CODEUR
;Bit1@4;;Warnings;%IX6.1;COD1_CODEUR
;Bit2@4;;Warnings;%IX6.2;COD1_CODEUR
;Bit3@4;;Warnings;%IX6.3;COD1_CODEUR
;Bit4@4;;Warnings;%IX6.4;COD1_CODEUR
;Bit5@4;;Warnings;%IX6.5;COD1_CODEUR
;Bit6@4;;Warnings;%IX6.6;COD1_CODEUR
;Bit7@4;;Warnings;%IX6.7;COD1_CODEUR
;Bit8@4;;Warnings;%IX7.0;COD1_CODEUR
;Bit9@4;;Warnings;%IX7.1;COD1_CODEUR
;Bit10@4;;Warnings;%IX7.2;COD1_CODEUR
;Bit11@4;;Warnings;%IX7.3;COD1_CODEUR
;Bit12@4;;Warnings;%IX7.4;COD1_CODEUR
;Bit13@4;;Warnings;%IX7.5;COD1_CODEUR
;Bit14@4;;Warnings;%IX7.6;COD1_CODEUR
;Bit15@4;;Warnings;%IX7.7;COD1_CODEUR
COD1_PosValue;Position value;;Position value;%ID2;COD1_CODEUR
;Bit0@5;;Position value;%IX8.0;COD1_CODEUR
;Bit1@5;;Position value;%IX8.1;COD1_CODEUR
;Bit2@5;;Position value;%IX8.2;COD1_CODEUR
;Bit3@5;;Position value;%IX8.3;COD1_CODEUR
;Bit4@5;;Position value;%IX8.4;COD1_CODEUR
;Bit5@5;;Position value;%IX8.5;COD1_CODEUR
;Bit6@5;;Position value;%IX8.6;COD1_CODEUR
;Bit7@5;;Position value;%IX8.7;COD1_CODEUR
;Bit8@5;;Position value;%IX9.0;COD1_CODEUR
;Bit9@5;;Position value;%IX9.1;COD1_CODEUR
;Bit10@5;;Position value;%IX9.2;COD1_CODEUR
;Bit11@5;;Position value;%IX9.3;COD1_CODEUR
;Bit12@5;;Position value;%IX9.4;COD1_CODEUR
;Bit13@5;;Position value;%IX9.5;COD1_CODEUR
;Bit14@5;;Position value;%IX9.6;COD1_CODEUR
;Bit15@5;;Position value;%IX9.7;COD1_CODEUR
;Bit16@1;;Position value;%IX10.0;COD1_CODEUR
;Bit17@1;;Position value;%IX10.1;COD1_CODEUR
;Bit18@1;;Position value;%IX10.2;COD1_CODEUR
;Bit19@1;;Position value;%IX10.3;COD1_CODEUR
;Bit20@1;;Position value;%IX10.4;COD1_CODEUR
;Bit21@1;;Position value;%IX10.5;COD1_CODEUR
;Bit22@1;;Position value;%IX10.6;COD1_CODEUR
;Bit23@1;;Position value;%IX10.7;COD1_CODEUR
;Bit24@1;;Position value;%IX11.0;COD1_CODEUR
;Bit25@1;;Position value;%IX11.1;COD1_CODEUR
;Bit26@1;;Position value;%IX11.2;COD1_CODEUR
;Bit27@1;;Position value;%IX11.3;COD1_CODEUR
;Bit28@1;;Position value;%IX11.4;COD1_CODEUR
;Bit29@1;;Position value;%IX11.5;COD1_CODEUR
;Bit30@1;;Position value;%IX11.6;COD1_CODEUR
;Bit31@1;;Position value;%IX11.7;COD1_CODEUR
COD1_SpdValue;Speed value channel 1;;Speed value channel 1;%IW6;COD1_CODEUR
;Bit0@6;;Speed value channel 1;%IX12.0;COD1_CODEUR
;Bit1@6;;Speed value channel 1;%IX12.1;COD1_CODEUR
;Bit2@6;;Speed value channel 1;%IX12.2;COD1_CODEUR
;Bit3@6;;Speed value channel 1;%IX12.3;COD1_CODEUR
;Bit4@6;;Speed value channel 1;%IX12.4;COD1_CODEUR
;Bit5@6;;Speed value channel 1;%IX12.5;COD1_CODEUR
;Bit6@6;;Speed value channel 1;%IX12.6;COD1_CODEUR
;Bit7@6;;Speed value channel 1;%IX12.7;COD1_CODEUR
;Bit8@6;;Speed value channel 1;%IX13.0;COD1_CODEUR
;Bit9@6;;Speed value channel 1;%IX13.1;COD1_CODEUR
;Bit10@6;;Speed value channel 1;%IX13.2;COD1_CODEUR
;Bit11@6;;Speed value channel 1;%IX13.3;COD1_CODEUR
;Bit12@6;;Speed value channel 1;%IX13.4;COD1_CODEUR
;Bit13@6;;Speed value channel 1;%IX13.5;COD1_CODEUR
;Bit14@6;;Speed value channel 1;%IX13.6;COD1_CODEUR
;Bit15@6;;Speed value channel 1;%IX13.7;COD1_CODEUR
COD1_AccValue;Acceleration value channel 1;;Acceleration value channel 1;%IW7;COD1_CODEUR
;Bit0@7;;Acceleration value channel 1;%IX14.0;COD1_CODEUR
;Bit1@7;;Acceleration value channel 1;%IX14.1;COD1_CODEUR
;Bit2@7;;Acceleration value channel 1;%IX14.2;COD1_CODEUR
;Bit3@7;;Acceleration value channel 1;%IX14.3;COD1_CODEUR
;Bit4@7;;Acceleration value channel 1;%IX14.4;COD1_CODEUR
;Bit5@7;;Acceleration value channel 1;%IX14.5;COD1_CODEUR
;Bit6@7;;Acceleration value channel 1;%IX14.6;COD1_CODEUR
;Bit7@7;;Acceleration value channel 1;%IX14.7;COD1_CODEUR
;Bit8@7;;Acceleration value channel 1;%IX15.0;COD1_CODEUR
;Bit9@7;;Acceleration value channel 1;%IX15.1;COD1_CODEUR
;Bit10@7;;Acceleration value channel 1;%IX15.2;COD1_CODEUR
;Bit11@7;;Acceleration value channel 1;%IX15.3;COD1_CODEUR
;Bit12@7;;Acceleration value channel 1;%IX15.4;COD1_CODEUR
;Bit13@7;;Acceleration value channel 1;%IX15.5;COD1_CODEUR
;Bit14@7;;Acceleration value channel 1;%IX15.6;COD1_CODEUR
;Bit15@7;;Acceleration value channel 1;%IX15.7;COD1_CODEUR
M3_CommandWord;0x3101 Command;;0x3101 Command;%QW6;AC600_ECAT_Drive
;Bit0;;0x3101 Command;%QX12.0;AC600_ECAT_Drive
;Bit1;;0x3101 Command;%QX12.1;AC600_ECAT_Drive
;Bit2;;0x3101 Command;%QX12.2;AC600_ECAT_Drive
;Bit3;;0x3101 Command;%QX12.3;AC600_ECAT_Drive
;Bit4;;0x3101 Command;%QX12.4;AC600_ECAT_Drive
;Bit5;;0x3101 Command;%QX12.5;AC600_ECAT_Drive
