Timestamp_ms;M3Translation.State.AtTremie;M3Translation.State.AtP2;M3Translation.State.AtPV;M3Translation.State.AtP1;M3Translation.State.AtMaintenance;IoHw.In.Hardware.Translation.M3_PosTremie_DI;IoHw.In.Hardware.Translation.M3_PosPV_DI;IoHw.In.Hardware.Translation.M3_PosPVP2_DI;IoHw.In.Hardware.Translation.M3_PosP1_DI;M3_BrakeIsOpen_DI;PRG_02_Acquisition.HwIn.Translation.M3_ActualFrequencyHz;M3_StatusWord;M3_SetpointFrequencyHz;M3_CommandWord;M3_ThermalOK_DI;M3Translation.Safety.Error;M3Translation.Safety.ErrorId;M3Translation.State.Error;M3Translation.State.ErrorId;M3Translation.State.EstimatedPosM3_M;JOY1Joystick.State.AxisCmdX.Deflection;JOY1Joystick.State.AxisCmdY.Deflection
3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
14;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
25;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
35;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
46;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
57;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
68;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
79;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
89;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
99;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
110;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
120;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
131;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
141;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
152;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
163;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
173;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
185;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
196;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
207;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
217;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
228;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
239;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
248;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
260;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
270;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
281;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
293;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
303;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
315;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
325;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
335;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
347;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
357;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
368;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
378;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
388;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
399;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
410;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
420;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
430;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
441;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
451;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
461;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
471;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
482;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
492;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
502;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
514;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
524;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
535;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
547;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
557;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
567;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
579;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
589;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
599;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
609;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
619;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
629;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
641;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
653;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
664;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
675;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
686;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
697;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
707;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
718;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
728;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
738;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.02250862121582;0;0
