Timestamp_ms;M1TreuilRetenue.State.Position_M;M2TreuilBenne.Bucket.State.M2PositionCorrected;M2TreuilBenne.State.Position_M;Modes.Cmd.SelJoystickWinch;M2TreuilBenne.Bucket.State.DeltaPosition_M;M1_BrakeIsOpen_DI;M1_BrakeRelease_RQ;M1_RelayAscent_RQ;M1_RelayDescent_RQ;M1_SpeedContactor_1_DQ;M1_SpeedContactor_2_DQ;M1_SpeedContactor_3_DQ;M1_SpeedContactor_4_DQ;M2_BrakeIsOpen_DI;M2_BrakeRelease_RQ;M2_RelayAscent_Close_RQ;M2_RelayDescent_Open_RQ;M2_SpeedContactor_1_DQ;M2_SpeedContactor_2_DQ;M2_SpeedContactor_3_DQ;M2_SpeedContactor_4_DQ;M1_M2_KoboldMeasureEnable_RQ;PRG_02_Acquisition.HwIn.Machine.M1_M2_KoboldBottomTouch_DI;JOY1Joystick.State.RawY;PRG_02_Acquisition.instJoystick.AxisCmdY.SpeedTgt;COD1_PresettTrigCmd;COD1_PresetValue;COD1_PosValue;PRG_02_Acquisition.instJoystick.ArmingPermit;PRG_02_Acquisition.instJoystick.ArmingPermitDenied;PRG_02_Acquisition.Data.Joystick.DeadmanArmed;PRG_06_Outputs.Data.SyncContactorDiag.RelayFwdMismatch;M1M2Sync.State.Error;M1M2Sync.State.ErrorId;M1TreuilRetenue.State.Error;M1TreuilRetenue.State.ErrorId;M1TreuilRetenue.Safety.Error;M1TreuilRetenue.Safety.ErrorId;M2TreuilBenne.State.Error;M2TreuilBenne.State.ErrorId;M2TreuilBenne.Safety.Error;M2TreuilBenne.Safety.ErrorId;M2_TensionedCable_DI;M1M2_TopPositionFree_DI;M1TreuilRetenue.State.MeasuredSpeed_Mps;M2TreuilBenne.State.MeasuredSpeed_Mps;M1M2Sync.State.DeltaPos_M;PRG_02_Acquisition.Data.EncoderM1.Measurement.SignedSpeed_Mps;PRG_02_Acquisition.Data.EncoderM2.Measurement.SignedSpeed_Mps;M2TreuilBenne.Bucket.State.BucketOpening_Pct;PRG_04_Treuils_Benne.Data.ArmingPermit;PRG_04_Treuils_Benne.Data.WinchM1State.CommandedAscent;PRG_04_Treuils_Benne.Data.WinchM1State.DirectionChangePending;PRG_04_Treuils_Benne.Data.WinchM1State.DirectionChangeDelayElapsed
14;6.41357421875;-1.05419921875;13.94580078125;0;7.5322265625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5000;0;0;896079;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.78515625;1;0;0;0
114;6.41357421875;-1.05419921875;13.94580078125;0;7.5322265625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5000;0;0;896079;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.78515625;1;0;0;0
214;6.41357421875;-1.05419921875;13.94580078125;0;7.5322265625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5000;0;0;896079;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.78515625;1;0;0;0
315;6.41357421875;-1.05419921875;13.94580078125;0;7.5322265625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5000;0;0;896079;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.78515625;1;0;0;0
416;6.41357421875;-1.05419921875;13.94580078125;0;7.5322265625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5000;0;0;896079;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.78515625;1;0;0;0
516;6.41357421875;-1.05419921875;13.94580078125;0;7.5322265625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5000;0;0;896079;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.78515625;1;0;0;0
617;6.41357421875;-1.05419921875;13.94580078125;0;7.5322265625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5000;0;0;896079;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.78515625;1;0;0;0
718;6.41357421875;-1.05419921875;13.94580078125;0;7.5322265625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5000;0;0;896079;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.78515625;1;0;0;0
820;6.41357421875;-1.05419921875;13.94580078125;0;7.5322265625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5000;0;0;896079;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.78515625;1;0;0;0
922;6.41357421875;-1.05419921875;13.94580078125;0;7.5322265625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5000;0;0;896079;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.78515625;1;0;0;0
